Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Media
3599704938,"Jun 11, 2020, 6:46:08 PM",First Run In Ages...,Run,"",1461,4.78,,,false,,,activities/3842912347.gpx.gz,,,1461.0,1446.0,4782.2001953125,6.699999809265137,3.307192325592041,55.1748046875,55.37480163574219,16.5,41.0,14.0,-0.004182175733149052,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4873.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3620218587,"Jun 15, 2020, 7:13:23 PM",Evening Run - Strava has done me of 0.25k here 😡,Run,"",819,2.75,,,false,,,activities/3864744990.gpx.gz,,,819.0,807.0,2750.89990234375,6.0,3.4087979793548584,11.235681533813477,11.835700035095215,9.199999809265137,14.399999618530273,9.199999809265137,-0.021811043843626976,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2767.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3676022214,"Jun 26, 2020, 11:06:43 PM",Midnight #RunTheHill Steady Jog,Run,"",4784,10.76,,,false,,,activities/3676022214.gpx,,,4784.0,4082.0,10760.099609375,4.900000095367432,2.6359872817993164,66.06241607666016,37.36240005493164,6.199999809265137,42.900001525878906,22.399999618530273,0.26672613620758057,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,73.0,0.0,,1.0,10928.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3678486540,"Jun 27, 2020, 12:43:47 PM","#RunTheHill - Recovery afternoon steady jog - Didn't recover, just more sore",Run,"",3640,7.81,,,false,,,activities/3678486540.gpx,,,3640.0,2634.0,7815.0,8.100000381469727,2.966970443725586,70.8954086303711,63.69540023803711,6.199999809265137,49.79999923706055,14.300000190734863,0.09213051944971085,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,47.0,0.0,,1.0,7944.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/64617523-d959-45c9-8331-0cd1bd024822.jpg|media/6fbd1a73-b61e-4d72-8b3c-3e093bf4851c.jpg
3684677885,"Jun 28, 2020, 2:14:28 PM",#RunTheHill - Wet Afternoon Cycle,Ride,"",8422,22.92,,,false,,,activities/3684677885.gpx,,,8422.0,7014.0,22926.099609375,14.199999809265137,3.268620014190674,178.30752563476562,176.70799255371094,5.099999904632568,48.70000076293945,46.900001525878906,0.006978945340961218,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/6e9875ba-f33e-482b-b4ff-95d9ab07335a.jpg|media/5ec60a35-e43f-4f22-bba3-9b99b5a2bda9.jpg
3686093574,"Jun 28, 2020, 9:49:26 PM",#RunTheHill Final Painful Jog - In 48 hours we have made it round the world!!! 🌍,Run,"",2693,4.93,,,false,,,activities/3686093574.gpx,,,2693.0,1714.0,4937.2998046875,6.0,2.8805718421936035,18.060855865478516,16.660900115966797,7.099999904632568,11.699999809265137,20.0,0.02835557982325554,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,30.0,0.0,,1.0,4979.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4583553404,"Jan 7, 2021, 7:19:18 PM",January Cobwebs Run,Run,"",1268,4.55,,,false,,,activities/4896490116.gpx.gz,,,1268.0,1268.0,4556.7998046875,5.800000190734863,3.593690872192383,37.400001525878906,47.20000076293945,38.599998474121094,65.5999984741211,10.300000190734863,-0.2150631994009018,,,98.0,84.59508514404297,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4578.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4597746714,"Jan 10, 2021, 12:24:13 PM",Lunch Run Navigating The Ice,Run,"",1479,5.08,,,false,,,activities/4911355446.gpx.gz,,,1479.0,1464.0,5080.5,11.199999809265137,3.4702868461608887,41.400001525878906,49.0,44.0,69.4000015258789,9.100000381469727,-0.1495915800333023,,,88.0,84.07682037353516,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5132.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4616051334,"Jan 13, 2021, 7:43:20 PM",Evening Run,Run,,1599,5.48,,,false,,,activities/4930506959.gpx.gz,,,1599.0,1596.0,5481.2998046875,5.5,3.4343984127044678,53.79999923706055,67.80000305175781,38.79999923706055,67.80000305175781,9.0,-0.25541386008262634,,,89.0,83.6521987915039,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5504.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4635797619,"Jan 17, 2021, 1:31:09 PM",Short Sunday Burst,Run,"",783,3.02,,,false,,,activities/4951108223.gpx.gz,,,783.0,778.0,3022.199951171875,5.199999809265137,3.884575843811035,9.800000190734863,17.600000381469727,84.19999694824219,99.80000305175781,6.5,-0.25809013843536377,,,90.0,84.91634368896484,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3026.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4653615556,"Jan 20, 2021, 7:26:34 PM",Evening Run,Run,,1114,4.09,,,false,,,activities/4969638497.gpx.gz,,,1114.0,1114.0,4092.0,5.400000095367432,3.6732494831085205,25.600000381469727,34.79999923706055,46.599998474121094,63.79999923706055,4.199999809265137,-0.22482892870903015,,,90.0,85.68766784667969,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4101.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4691441719,"Jan 27, 2021, 7:17:10 PM",Evening Run,Run,,1531,5.01,,,false,,,activities/5009003474.gpx.gz,,,1531.0,1528.0,5018.10009765625,5.400000095367432,3.2840969562530518,50.20000076293945,59.79999923706055,21.600000381469727,50.0,24.399999618530273,-0.19130747020244598,,,86.0,82.17442321777344,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5064.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4723907496,"Feb 2, 2021, 7:19:21 PM","Cold, Wet and Windy Evening Run",Run,"",1452,5.01,,,false,,,activities/5042802135.gpx.gz,,,1452.0,1436.0,5018.0,5.099999904632568,3.494428873062134,54.400001525878906,66.80000305175781,37.20000076293945,67.4000015258789,10.600000381469727,-0.24711039662361145,,,93.0,82.99089050292969,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5063.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4792798430,"Feb 15, 2021, 7:15:15 PM",First run after winter week... the dinner dauphinoise hit around the 3rd - 4th K.,Run,"",1427,5.04,,,false,,,activities/5114262328.gpx.gz,,,1427.0,1411.0,5039.10009765625,5.599999904632568,3.5712969303131104,44.599998474121094,103.0,15.600000381469727,83.0,11.600000381469727,-1.1589370965957642,,,87.0,83.33285522460938,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5060.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4831846778,"Feb 22, 2021, 7:25:56 PM",Evening Run,Run,,1192,4.20,,,false,,,activities/5154780867.gpx.gz,,,1192.0,1189.0,4201.10009765625,4.599999904632568,3.5333054065704346,24.399999618530273,38.599998474121094,59.0,79.5999984741211,4.400000095367432,-0.3380067050457001,,,88.0,83.24978637695312,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4196.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4849809841,"Feb 25, 2021, 8:07:18 PM",Evening Run with Catriona,Run,"",1847,5.63,,,false,,,activities/5173419166.gpx.gz,,,1847.0,1775.0,5631.0,4.300000190734863,3.172394275665283,45.400001525878906,45.20000076293945,31.0,50.0,12.399999618530273,0.003551766974851489,,,124.0,83.08468627929688,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5707.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4879493074,"Mar 2, 2021, 7:30:11 PM",Evening Run,Run,Building towards that first 10k of the year... how have 2 months passed already...,2040,7.23,,,false,,,activities/5205397529.gpx.gz,,,2040.0,2040.0,7231.10009765625,6.400000095367432,3.544656753540039,70.0,77.19999694824219,16.399999618530273,50.20000076293945,21.899999618530273,-0.09956991672515869,,,88.0,85.08370208740234,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7323.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4946309525,"Mar 14, 2021, 12:45:05 PM",Lunch Walk,Walk,,7162,9.91,,,false,,,activities/5275823100.gpx.gz,,,7162.0,6830.0,9910.7001953125,3.299999952316284,1.4510542154312134,95.0,87.0,-18.399999618530273,1.7999999523162842,26.899999618530273,0.08072083443403244,,,124.0,62.974266052246094,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4952619642,"Mar 15, 2021, 7:13:10 PM",Evening Run,Run,🏃🤢🤮👨‍🦽,1344,5.00,208.0,82,false,,,activities/5282484065.fit.gz,,,1344.0,1338.0,5000.5,5.5,3.7372944355010986,25.0,44.0,18.799999237060547,47.599998474121094,5.5,-0.3399659991264343,,,88.0,84.78352355957031,,184.24496459960938,,,351.0,,,82.0,,,,,,,,,,,0.0,,0.0,,1.0,5006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4958258007,"Mar 16, 2021, 6:24:24 PM",Evening Walk,Walk,,5446,7.45,135.0,15,false,,,activities/5288375533.fit.gz,,,5446.0,5391.0,7449.89990234375,2.700000047683716,1.3819142580032349,51.0,61.0,68.19999694824219,102.0,39.79999923706055,-0.13959918916225433,,,124.0,60.666282653808594,,107.60586547851562,,,440.0,,,15.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4969604819,"Mar 18, 2021, 8:40:08 PM",Evening Warm Up,Run,"",388,0.84,168.0,6,false,,,activities/5300219961.fit.gz,,,388.0,252.0,845.7999877929688,3.9000000953674316,3.356349229812622,0.0,0.0,34.0,36.0,3.5,0.09458500891923904,,,87.0,83.33333587646484,,151.26800537109375,,,51.0,,,6.0,,,,,,,,,,,0.0,,0.0,,1.0,849.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4969605163,"Mar 18, 2021, 8:50:07 PM",Evening Intervals,Run,"400m Fast, 1 minute 30 Slow, 6x",1074,3.80,204.0,75,false,,,activities/5300220293.fit.gz,,,1074.0,1074.0,3799.89990234375,6.800000190734863,3.5380818843841553,2.0,2.0,32.400001525878906,37.20000076293945,7.300000190734863,-0.010526592843234539,,,97.0,84.90763092041016,,187.15577697753906,,,280.0,,,75.0,,,,,,,,,,,0.0,,0.0,,1.0,3824.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4992450207,"Mar 22, 2021, 7:16:53 PM",Evening Run,Run,First 10k of the year...,2953,10.00,198.0,198,false,,,activities/5324141291.fit.gz,,,2953.0,2934.0,10008.2001953125,6.400000095367432,3.4111111164093018,60.0,62.0,14.199999809265137,48.20000076293945,7.099999904632568,-0.013988529331982136,,,87.0,83.21063232421875,,184.55116271972656,,,755.0,,,198.0,,,,,,,,,,,0.0,,0.0,,1.0,10086.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5010044417,"Mar 25, 2021, 7:18:54 PM",Evening Run with Red Ross,Run,"1. Ross - 'Louis, I've a hit a wall (2km in)'
2. Ross begins to do a Mo Farah finish with 500m to go, before majorly slowing with 450m to go.
3. Ross - 'Broony will be raging at me'",1744,5.00,177.0,57,false,,,activities/5342566658.fit.gz,,,1744.0,1744.0,5008.7998046875,4.599999904632568,2.872018337249756,21.0,19.0,66.19999694824219,83.4000015258789,6.5,0.0678805336356163,,,92.0,83.23464965820312,,159.20997619628906,,,369.0,,,57.0,,,,,,,,,,,0.0,,0.0,,1.0,5044.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
